Name,Code,ICAO
Boutique Air,4B,BTQ
BRA,TF,BRX
Braathens International Airways,TT,BIX
Braspress Air Cargo,,BPC
Bravo Airways,,BAY
Brazil - Air Force,,BRS
Brazil - Army,,EXB
Brazil - Navy,,MBR
Breeze Airways,MX,MXY
Bridger Aerospace,,BGR
Bridges Air Cargo,5B,BRD
Brilliant Jet,,TXJ
Bristow Helicopters,,BHL
Bristow Nigeria,,BHN
Bristow Norway,,NOR
Bristow US,,BTZ
British Airways,BA,BAW
British Airways Shuttle,,SHT
British International Helicopters,,BRT
Bromma Air Maintenance,,CFL
Brussels Airlines,SN,BEL
Budapest Aircraft Service,RP,BPS
Buddha Air,U4,BHA
Buffalo Airways,J0,BFL
Buffalo River Aviation,,OFT
Bul Air,LB,BVL
Bulgaria - Air Force,,AFB
Bulgaria - Government,,BGF
Bulgaria Air,FB,LZB
Buraq Air,UZ,BRQ
Burkina Faso - Government,,BFA
Business Aviation Asia,UN,UNA
Business Wings,,JMP
Buzz,RR,RYS
BySky,,BYS
C&M Airways,,RWG
CAA,BU,DBP
Cabo Verde Airlines,VR,TCV
CAE,,CSR
CAE,,OXF
CAE Aviation,,LXC
Caicos Express Airways,9Q,CXE
Calm Air,MO,CAV
Calstar,,CMD
Camair-Co,QC,CRC
Cambodia Airways,KR,KME
CAMEX Adria Airlines,,CMM
CAMEX Airlines,Z7,CMS
Canada - Coast Guard,,CTG
Canada - Department of Transport,,TGO
Canada - Ontario Ministry of Natural Resources,,ONT
Canada - Royal Canadian Air Force,,CFC
Canada - Royal Canadian Mounted Police,,SST
Canada - Saskatchewan Air Ambulance Service,,SLG
Canadian Airways Congo,,TWC
Canadian North,5T,AKT
Canair,,RSC
CanaryFly,PM,CNF
Canavia,,CNA
Canlink Aviation,,MFC
CanWest Air,,CWA
Cape Air,9K,KAP
Capital Air Ambulance,,EGL
Capital Airlines,JD,CBJ
Capital City Air Carriers,,CCQ
Cardig Air,7D,CAD
CareFlight,,CFH
Cargo Air,,CGF
Cargo Three,C3,CTW
Cargojet Airways,W8,CJT
Cargolux,CV,CLX
Cargolux Italia,C8,ICV
Caribbean Airlines,BW,BWA
Carlisle Air Group,,CCK
Carpatair,V3,KRP
Carson Air,,CRN
Caspian Airlines,IV,CPN
CASS Professional Services,,SWB
Castle Aviation,,CSJ
Cat Aviation,,CAZ
Cathay Pacific,CX,CPA
Catreus,,VCG
Cavok Air,,CVK
Cayman Airways,KX,CAY
CB SkyShare,,CBC
Cebgo,DG,SRQ
Cebu Pacific,5J,CEB
Ceiba Intercontinental,,CEL
CemAir,5Z,KEM
Centene Management Company,,TMP
Central Air Southwest,,CTL
Central Airlines,I9,HLF
Central Mountain Air,9M,GLR
Centreline,,CLF
Cerium Air,,CAQ
Chabahar Airlines,,IRU
Chair Airlines,GM,GSW
Chalair Aviation,CE,CLG
Challenge Air Cargo,X6,CHZ
Challenge Airlines BE,X7,CHG
Challenge Airlines IL,5C,ICL
Cham Wings Airlines,,SAW
Charter Airlines,,RKJ
Charter Jets,,LTC
Chartright Air,,HRT
CHC Helicopter,,HMB
CHC Helicopters Netherlands,,HNL
